Time:1449230 || State: AFTER_LIFTOFF
Time:1449240 || State: AFTER_LIFTOFF
Time:1449250 || State: AFTER_LIFTOFF
Time:1449260 || State: AFTER_LIFTOFF
Time:1449270 || State: AFTER_LIFTOFF
Time:1449280 || State: AFTER_LIFTOFF
Time:1449290 || State: AFTER_LIFTOFF
Time:1449300 || State: AFTER_LIFTOFF
Time:1449310 || State: AFTER_LIFTOFF
Time:1449320 || State: AFTER_LIFTOFF
Time:1449330 || State: AFTER_LIFTOFF
Time:1449340 || State: AFTER_LIFTOFF
Time:1449350 || State: AFTER_LIFTOFF
Time:1449360 || State: AFTER_LIFTOFF
Time:1449380 || State: AFTER_LIFTOFF
Time:1449390 || State: AFTER_LIFTOFF
Time:1449400 || State: AFTER_LIFTOFF
Time:1449410 || State: AFTER_LIFTOFF
Time:1449420 || State: AFTER_LIFTOFF
Time:1449430 || State: AFTER_LIFTOFF
Time:1449440 || State: AFTER_LIFTOFF
Time:1449450 || State: AFTER_LIFTOFF
Time:1449460 || State: AFTER_LIFTOFF
